China,World,Fragile
numeric,numeric,numeric
667070000,3032160395,119967877
660330000,3073368589,122738548
665770000,3126509809,125620594
682335000,3191786428,128621853
698355000,3257459749,131764369
715185000,3324545319,135063791
735400000,3394783653,138532362
754550000,3464689185,142167980
774510000,3535355316,145950382
796025000,3610178793,149853252
818315000,3685753341,153859672
841105000,3763393039,157948126
862030000,3840269676,162133008
881940000,3916243701,166464128
900350000,3992871281,171018004
916395000,4067740568,175837838
930685000,4140647339,180955166
943455000,4213305195,186328587
956165000,4287155675,191851145
969005000,4362863944,197374705
981235000,4439337768,202791782
993885000,4517802648,208084754
1008630000,4599181616,213292176
1023310000,4681262096,218448678
1036825000,4763043102,223607635
1051040000,4846338372,228824309
1066790000,4932113625,234072288
1084035000,5020001104,239375914
1101630000,5108813278,244894863
1118650000,5197758286,250831755
1135185000,5288103214,259301889
1150780000,5375488619,266530173
1164970000,5459753865,274337650
1178440000,5544873088,282512676
1191835000,5628791176,290750580
1204855000,5713794372,298837493
1217550000,5796632117,306691898
1230075000,5879433900,314393550
1241935000,5961166037,321885559
1252735000,6041818586,329495037
1262645000,6121682736,337602457
1271850000,6201340258,346168747
1280400000,6280530065,355076801
1288400000,6359899296,364275678
1296075000,6439825381,373680882
1303720000,6520298763,383230416
1311020000,6601476541,392932365
1317885000,6683223772,402796842
1324655000,6766296679,412832401
1331260000,6849569339,423028631
1337705000,6932869743,433388814
1344130000,7014983968,443918286
1350695000,7099557649,454618893
1357380000,7185137526,465515402
1364270000,7271322821,476608101
1371220000,7357559450,487923553
1378665000,7444157356,499508468
1386395000,7530360149,511336623
