P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,Activity
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
-2.78872911,0.30626679,0.791485313,0.79435876,0.693789416,-0.041354398,-0.22988848,-0.411133943,-0.524659536,0.21566397,-0.18186924,-0.064828032,0.616616716,0.697697592,-0.652877663,0.112223925,-0.028510162,0.382485785,0.263021576,0.292843093,0.065375698,-0.053049754,-0.268959958,-0.378589325,-0.196912008,0.011842006,-0.075039818,0.26099354,-0.587964143,0.236264203,-0.578775363,-0.287044656,0.188269258,0.139185385,-0.323253485,5
-2.783821391,0.209483635,0.995852172,0.373836235,0.296266696,0.347477234,0.23900664,0.457159738,-0.316119713,0.456796773,-0.175089329,0.035586766,0.106859506,0.161444274,-0.093457598,-0.038236535,-0.109493792,-0.119853992,-0.132847424,0.164112817,-0.077019745,0.337783235,-0.03547569,0.047394297,-0.039712832,0.253684554,0.179360898,-0.131748893,-0.114219423,0.037170668,-0.154831935,0.054731024,0.044164773,0.252407355,0.186003272,5
-2.75339175,0.028100572,1.126888709,0.285696697,0.080894135,-0.000105764,-0.041176609,-0.03311675,-0.012705869,0.112033541,-0.125892621,-0.14407945,-0.024092507,0.103192059,-0.080474528,0.129685497,0.014271814,0.089265971,-0.211399978,0.245575233,-0.002413348,0.500390253,0.101921305,0.108136075,-0.014761897,0.031496524,-0.155362602,-0.05228599,-0.063642957,0.004810212,0.216947052,-0.041979183,-0.13491858,0.223305214,-0.145831383,5
-2.854574451,-0.326917578,1.103524489,0.104164262,0.357609642,0.532167051,0.124968032,0.381702379,0.081263134,-0.222316314,-0.039431879,0.203517752,-0.410354152,0.048136839,0.013418594,0.03619106,0.003363186,0.068406721,0.035082957,-0.174927708,0.102803752,-0.086236763,-0.001754118,-0.140712394,0.26877845,0.133550024,0.014682056,0.125312358,-0.095316632,0.031717401,0.016266402,-0.139366791,-0.390663404,0.062649768,-0.209837633,5
-2.891715267,-0.468003984,1.184149099,0.118531277,0.217458891,0.230437864,0.101685547,0.077527206,0.130354124,-0.264380751,-0.149719903,0.077840301,-0.257304057,-0.153808389,-0.193050661,0.00995091,-0.157644299,-0.347920322,0.119347573,-0.240191681,0.338704698,0.050476089,0.168002134,-0.000196388,-0.011561065,-0.045375044,0.115716026,-0.054138562,0.253687652,0.014630138,0.138040344,0.039498029,-0.028315087,0.094065944,-0.167600098,5
-2.873440725,-0.569542718,1.127506586,0.020289864,0.002614293,-0.025569789,0.092799851,0.103894997,0.192652219,-0.140053984,-0.146964983,-0.224425474,-0.08808201,-0.507791087,-0.230704386,0.173507636,-0.069619616,-0.351403672,0.196676838,-0.218716427,0.220998157,0.193028733,0.108433829,-0.140262687,-0.121693916,-0.29787159,0.213536348,0.048455845,0.140692159,0.103308141,0.254976326,-0.088074524,0.067347924,0.005713127,0.007361294,5
-2.719373676,-0.185128827,1.141778932,0.127280381,0.067504175,-0.297023232,-0.210214785,-0.387739948,0.038815666,0.036345681,-0.150980953,0.096312166,-0.140218248,-0.17943047,-0.145897441,0.053946831,-0.061548972,-0.238076232,0.114182462,-0.102996665,0.015360998,-0.126753541,0.272342192,0.026408425,0.082871238,-0.100602014,-0.0885786,-0.127671406,-0.075164828,0.028750447,0.051634551,0.001629746,-0.257120427,-0.081897936,-0.0168446,5
-2.790767156,0.061684333,0.967810308,0.303643627,0.445469498,0.541796136,0.202283526,0.099959734,-0.336791427,0.352201406,-0.053484447,0.047254996,-0.183379519,-0.101773231,0.066192918,0.107294449,-0.081296927,-0.138658594,-0.245444715,0.147047822,0.317550655,0.116709222,0.329254837,0.008359724,0.139192046,0.067895925,0.000340633,-0.123307175,-0.099592452,-0.126169038,-0.265591304,0.002551341,-0.241989982,-0.23254346,0.064477177,5
-2.842305713,-0.061229026,1.048920064,0.417330222,0.352539907,-0.009150659,-0.051801971,-0.377298138,-0.315533577,0.145751087,-0.20774018,0.26651951,0.087648547,0.296884599,0.023249155,0.1036635,-0.08503212,-0.080759276,0.016667685,0.110611169,0.113890958,0.117220976,0.238600059,0.151363448,-0.038357844,-0.0836881,-0.057496396,-0.00251038,0.030023801,-0.019934972,0.036139215,-0.044304561,-0.086393702,0.04881457,-0.10233943,5
