goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,predicted categories
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
40.0,62.0,5.0,422.0,122.0,11.0,5.0,2.0,1.0,36.0,4.0,2.0,76.0,14.0,51.0,199.0,404.0,651.0,12.0,1401.0,820.0,1.0,6.0,6.0,12364.0,34.0,2061.0,951.0,185.0,20511.0,8.0,371.0,0.0,54.0,9.0,9
50.0,72.0,6.0,530.0,185.0,14.0,11.0,5.0,1.0,40.0,10.0,3.0,95.0,8.0,48.0,116.0,550.0,833.0,3.0,2065.0,1003.0,1.0,6.0,4.0,13650.0,31.0,2281.0,883.0,196.0,22599.0,5.0,532.0,2.0,59.0,27.0,7
46.0,49.0,4.0,456.0,137.0,12.0,7.0,3.0,0.0,38.0,8.0,3.0,60.0,10.0,55.0,161.0,750.0,791.0,5.0,1177.0,701.0,5.0,4.0,3.0,13343.0,22.0,2706.0,912.0,211.0,21547.0,2.0,355.0,0.0,38.0,26.0,4
52.0,58.0,3.0,514.0,164.0,7.0,15.0,2.0,1.0,47.0,5.0,4.0,74.0,3.0,66.0,157.0,468.0,692.0,6.0,1451.0,767.0,1.0,7.0,5.0,15165.0,51.0,2430.0,863.0,165.0,22830.0,9.0,379.0,2.0,56.0,20.0,3
47.0,63.0,4.0,441.0,139.0,14.0,10.0,5.0,4.0,41.0,6.0,0.0,77.0,7.0,51.0,154.0,600.0,791.0,2.0,1270.0,779.0,0.0,6.0,4.0,12071.0,22.0,2609.0,834.0,209.0,20386.0,7.0,325.0,2.0,77.0,9.0,6
44.0,40.0,2.0,472.0,145.0,14.0,7.0,5.0,1.0,36.0,8.0,1.0,67.0,14.0,51.0,146.0,579.0,709.0,3.0,1048.0,439.0,2.0,3.0,1.0,20795.0,105.0,2121.0,721.0,201.0,28300.0,3.0,518.0,2.0,69.0,22.0,12
34.0,64.0,6.0,388.0,120.0,6.0,8.0,6.0,2.0,27.0,7.0,1.0,86.0,7.0,75.0,157.0,674.0,760.0,12.0,1528.0,805.0,5.0,8.0,7.0,11731.0,46.0,2128.0,753.0,150.0,21522.0,4.0,535.0,1.0,59.0,46.0,0
93.0,51.0,5.0,738.0,250.0,21.0,10.0,7.0,1.0,73.0,20.0,6.0,85.0,17.0,29.0,111.0,631.0,694.0,6.0,930.0,525.0,2.0,3.0,2.0,20863.0,321.0,1734.0,843.0,269.0,28620.0,6.0,480.0,1.0,39.0,21.0,18
48.0,66.0,2.0,483.0,166.0,11.0,10.0,4.0,1.0,40.0,8.0,5.0,83.0,10.0,50.0,167.0,444.0,657.0,8.0,1280.0,737.0,2.0,4.0,4.0,18809.0,64.0,2563.0,690.0,194.0,26729.0,3.0,461.0,0.0,71.0,24.0,11
54.0,54.0,2.0,472.0,159.0,15.0,10.0,4.0,2.0,44.0,10.0,10.0,85.0,13.0,48.0,146.0,710.0,982.0,11.0,1764.0,1088.0,0.0,6.0,6.0,12419.0,81.0,2208.0,1119.0,257.0,23020.0,4.0,536.0,0.0,32.0,26.0,13
36.0,67.0,1.0,559.0,165.0,16.0,4.0,3.0,3.0,31.0,5.0,5.0,101.0,8.0,67.0,136.0,591.0,803.0,14.0,1477.0,776.0,0.0,4.0,4.0,14518.0,178.0,2311.0,962.0,226.0,24904.0,5.0,581.0,0.0,60.0,24.0,11
50.0,60.0,2.0,520.0,164.0,12.0,9.0,5.0,1.0,42.0,8.0,1.0,116.0,12.0,40.0,145.0,617.0,624.0,6.0,1130.0,555.0,3.0,4.0,1.0,15063.0,67.0,2048.0,877.0,180.0,22706.0,2.0,487.0,2.0,57.0,25.0,12
