goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
47,53,5,667,207,33,8,1,2,40,7,3,128,12,40,108,505,728,5,720,365,3,5,4,18797,105,2260,1103,309,26450,2,440,1,22,19
46,65,5,453,135,10,9,1,2,39,7,1,87,8,59,183,734,748,11,1521,799,1,8,6,11178,54,2057,821,173,19421,8,357,0,50,26
48,72,1,433,145,8,10,4,1,39,9,4,65,9,63,141,538,677,3,1025,567,2,4,4,13671,25,2792,731,197,21051,2,310,0,45,16
85,72,0,580,204,17,8,2,3,73,12,7,64,16,33,78,510,652,0,839,500,1,2,2,20125,103,2399,688,218,27658,3,436,0,38,18
39,40,1,511,149,11,2,5,0,33,6,5,92,15,34,153,667,812,10,1632,1011,0,2,1,16100,151,2297,765,188,26306,8,467,1,70,44
47,78,5,499,138,14,14,3,3,41,6,3,74,10,64,112,614,574,4,1074,625,0,8,5,15127,37,2622,752,172,22666,3,367,1,47,11
36,65,0,378,128,9,10,0,1,32,4,0,100,12,39,191,401,533,2,1184,640,1,6,3,13572,18,3028,707,167,20732,5,344,1,60,19
56,52,5,423,149,8,9,5,1,49,7,7,92,9,60,130,413,630,1,920,487,2,4,2,15200,63,2667,744,203,22770,4,358,2,29,23
55,51,2,657,191,15,10,5,0,40,15,3,59,8,46,139,661,754,16,1363,800,1,6,4,16791,111,2407,954,256,25438,6,560,2,68,50
31,70,7,418,125,5,7,1,1,28,3,2,70,10,57,135,487,623,6,1130,661,1,4,4,16527,14,2740,766,171,23785,2,413,0,77,18
37,70,2,438,138,9,3,3,0,29,8,1,85,9,53,176,740,774,4,1301,682,2,7,6,13158,62,1980,834,218,21017,8,300,0,41,15
54,78,2,591,210,19,9,3,1,47,7,5,99,17,29,99,584,690,4,1112,580,1,5,4,20245,99,2424,848,217,28119,1,389,1,32,4
75,51,3,626,212,7,16,9,3,64,11,3,80,14,39,104,504,710,4,981,603,2,1,0,18425,52,2008,863,240,25959,1,434,0,53,29
43,86,2,499,152,13,9,2,2,37,6,6,126,8,53,136,528,835,0,2139,1043,5,2,2,12200,48,2341,960,219,21064,2,575,0,68,38
68,50,3,797,248,17,12,2,2,59,9,4,114,22,24,124,504,773,15,1069,585,1,1,0,19923,205,2121,938,237,29962,3,518,1,111,35
45,63,1,481,153,10,10,4,2,34,10,1,102,8,65,132,553,876,1,1823,874,1,2,2,13947,31,2420,966,209,22761,8,717,0,35,20
69,72,0,659,252,19,7,5,2,59,10,3,72,13,35,140,645,805,1,1046,576,3,2,2,18649,64,2554,738,254,27014,2,581,0,38,27
86,62,0,669,257,22,10,7,0,74,12,3,74,17,26,99,314,661,1,1003,526,1,2,2,20150,45,2662,761,273,28150,1,484,0,21,11
