id,Feature_One,Feature_Two,Feature_Three,labels
string,numeric,numeric,numeric,numeric
0,12,2004,2013,0
1,1045,2973,2962,1
2,950,963,3996,2
3,6,23,2012,3
4,3991,31,14,4
5,5000,2986,24,5
6,5003,1005,5031,6
7,1025,2008,7,7
8,2005,997,40,8
9,3004,3994,2997,9
10,2976,3027,1995,10
11,18,2004,4958,11
12,2959,976,1999,12
13,982,3018,5001,13
14,24,20,3997,14
15,3,3999,1013,15
16,3964,993,999,16
17,969,3990,7,17
18,3009,4979,4973,18
19,2003,2997,3027,19
20,4017,30,30,4
21,3939,2965,3987,20
22,4985,4013,2972,21
23,4010,12,3992,22
24,1008,4997,4991,23
25,2039,2986,3049,19
26,970,5003,3002,24
27,3989,21,2016,25
28,2992,1000,3004,26
29,4013,1012,1972,27
30,2008,978,5003,28
31,3023,5014,1030,29
32,10,30,4982,30
33,1986,2036,2998,31
34,4011,4014,2010,32
35,1010,2999,3019,1
36,4988,14,3999,33
37,1994,1036,3018,34
38,4002,954,1994,27
39,21,3995,3985,35
40,4005,3993,4030,36
41,1020,2043,3015,37
42,978,981,48,38
43,4993,4988,5014,39
44,14,4003,9,40
45,5010,1004,978,41
46,36,3970,4997,42
47,978,3010,4994,13
48,15,3001,3039,43
49,3032,1986,3986,44
50,2999,3981,4031,45
51,2011,2007,2006,46
52,3,5004,4004,47
53,2024,3992,4015,48
54,4012,35,2995,49
55,1992,1005,18,8
56,17,5003,3994,47
57,5020,3975,3997,50
58,1004,5027,0,51
59,2014,1983,18,52
60,29,5016,4033,47
61,1031,3982,5,17
62,4987,2990,1012,53
63,17,5,1008,54
64,1000,27,29,55
65,3999,3990,4016,36
66,2,2006,1004,56
67,2028,3000,992,57
68,8,5025,2979,58
69,1000,5,2034,59
70,18,3975,4987,42
71,3011,1993,1029,60
72,4008,3002,1979,61
73,5014,4968,1007,62
74,1966,988,5037,28
75,4988,994,5010,6
76,4,4020,2045,63
77,1986,1029,1033,64
78,3996,1968,1023,65
79,1998,2019,974,66
80,1013,5023,2,51
81,3985,23,3020,49
