id,Feature_One,Feature_Two,Feature_Three,labels
string,numeric,numeric,numeric,numeric
0,3126,1047,76,0
1,753,1976,3283,1
2,1244,2817,59,2
3,2939,1827,963,3
4,3768,4935,4741,4
5,1098,2788,697,5
6,3740,4950,2867,6
7,3870,977,1951,7
8,1235,1892,1073,8
9,3084,5053,2562,9
10,72,3987,46,10
11,2924,3819,4922,11
12,1613,612,2970,12
13,839,4895,192,13
14,3395,4853,3973,14
15,2634,87,5041,15
16,110,5062,5198,16
17,4215,3337,125,17
18,2627,182,4118,18
19,2292,3753,880,19
20,3811,1161,340,20
21,2801,3767,4048,21
22,3187,4943,4132,14
23,621,55,3968,22
24,3017,3107,5265,23
25,161,2850,1883,24
26,60,107,4980,25
27,1117,5191,4145,26
28,3235,1846,1864,27
29,5029,1971,2797,28
30,2048,47,4090,29
31,3566,4205,4911,30
32,733,2113,106,31
33,1937,3898,3212,32
34,1157,5004,3137,33
35,3896,271,239,34
36,2855,927,2004,35
37,1182,1750,27,31
38,1044,1053,986,36
39,950,30,5051,37
40,1527,3197,1851,38
41,890,3078,3970,39
42,1017,80,2147,40
43,4649,4958,719,41
44,5221,53,5001,42
45,1082,2984,649,5
46,2894,2145,2340,27
47,4927,1978,3093,28
48,4028,2742,2928,43
49,2094,2215,2619,44
50,4007,5386,5175,4
51,4212,4116,3694,45
52,2045,3372,96,46
53,830,1323,2065,47
54,2616,35,3173,48
55,505,18,5101,37
56,1176,3022,4746,49
57,5048,2161,880,50
58,1114,4877,2753,33
59,1037,3809,3911,51
60,1758,351,990,52
61,305,2774,1505,24
62,1495,1680,4799,53
63,2772,95,142,54
64,2004,1288,1513,55
65,1724,3758,3031,32
66,94,4879,3855,56
67,5401,4979,2024,57
68,998,4151,1822,58
69,2168,4986,2204,59
70,5118,1001,24,60
71,5565,3831,4855,61
72,2324,1130,4793,62
73,31,4236,541,63
74,57,1977,4862,64
75,282,5221,2590,65
76,1856,1901,1627,66
77,5316,182,103,67
78,2988,3995,5238,11
79,2200,2890,931,68
80,2440,1933,3879,69
81,2782,143,81,54
82,5222,3136,2199,70
83,676,3560,2849,71
84,106,732,880,72
85,341,4005,4934,73
86,851,4012,903,74
87,3054,3,17,54
88,995,1194,1907,47
89,1080,2908,4254,39
90,1745,5041,25,75
91,4770,2947,3110,76
92,4041,5139,2987,6
93,2998,4953,4644,77
94,2963,103,1353,78
95,2755,1700,2680,79
96,262,1002,3256,80
97,4054,4175,3135,81
98,1790,3279,1076,68
99,1118,988,2730,82
100,2455,5096,5122,83
101,4741,5280,889,41
102,2959,1130,1983,35
103,5111,937,4047,84
104,1994,1903,14,85
105,865,4356,4097,51
106,3909,236,4995,86
107,3948,45,32,34
108,4093,2312,4981,87
109,1019,263,4209,22
110,2843,3986,3083,88
111,992,3391,3078,89
112,2976,5101,3367,9
113,981,2190,4224,90
114,76,1230,1737,91
115,2917,811,1821,35
116,2000,1855,1267,92
117,4235,5242,5346,4
118,5,2235,1011,93
119,5351,296,23,67
120,4018,53,5116,86
121,3244,3386,4636,23
122,3044,995,4153,94
123,883,2832,129,2
124,2595,3125,3738,95
125,1833,2999,988,68
126,71,717,1023,72
127,1703,4267,3748,96
128,3117,148,3917,18
129,2030,1098,5037,62
130,2013,221,1794,97
131,3850,3782,215,98
132,4879,1896,4929,99
133,5129,2967,4993,100
134,1822,2059,817,92
135,1082,4196,1279,74
136,240,149,2061,101
137,3956,4808,2020,102
138,941,5025,216,13
139,109,4756,999,103
140,3273,4794,4076,14
141,105,3808,1360,63
142,1744,2316,3343,69
143,3212,210,1953,104
144,3789,3978,4576,30
145,3042,1195,3768,94
146,2065,1167,1678,105
147,4955,773,30,60
148,1965,105,4164,29
149,4177,988,2925,106
150,74,3734,2425,107
151,4587,2948,2040,70
152,3982,3840,886,108
153,4290,2842,2668,43
154,4168,1181,19,20
155,177,1896,4991,64
156,73,3025,16,109
157,671,2963,4516,49
158,5295,1765,4,110
159,4068,4333,2805,81
160,4569,4180,351,111
161,5053,4266,5304,61
162,2086,2596,2991,112
163,3936,4113,370,98
164,373,113,273,113
165,21,2868,1075,114
166,8,3976,3125,115
167,413,874,4913,116
168,4798,1276,165,60
169,4067,4735,1029,117
170,3222,3968,2941,88
171,5044,1275,390,60
172,2854,35,4774,15
173,275,5076,122,118
174,3936,936,1224,119
175,2066,728,3769,120
176,1843,4817,2951,121
177,1879,1001,2264,105
178,3325,2977,1235,122
179,230,4368,3705,123
180,5202,3966,4055,124
181,3797,1960,2999,125
182,2009,3357,5000,126
183,4905,3295,200,127
184,3917,5103,4310,128
185,4373,739,2583,106
186,5078,860,3952,84
187,946,4904,2272,129
188,3822,3060,3085,43
189,3001,1856,3986,130
190,313,1236,2912,80
191,4715,1042,905,131
192,4081,3162,19,17
193,748,1913,91,31
194,2292,96,2108,97
195,1032,1994,2614,1
196,1721,261,3311,132
197,4935,1106,1741,133
198,4976,3369,2322,70
199,1841,4109,5203,134
200,4125,2668,3058,43
201,166,1073,2190,91
202,1225,3105,1905,135
203,1910,3161,4073,136
204,1141,3081,1788,135
205,4976,255,1853,137
206,1307,2335,766,8
207,4560,1023,5120,138
208,4917,4,3071,139
209,917,263,3006,140
210,2929,2724,1819,141
211,71,1011,1889,91
212,4031,4114,117,98
213,4187,4263,5130,30
214,4116,4837,229,142
215,4684,871,123,60
216,2670,2521,4036,130
217,4868,49,2033,137
218,1194,2157,954,8
219,235,4008,2945,115
220,1739,831,1844,105
221,298,3902,4103,123
222,5107,2939,3875,143
223,4862,4358,1074,144
224,1012,3079,62,2
225,159,2966,3914,145
226,3175,287,4116,18
227,4215,4109,4992,30
228,3634,25,3943,18
229,4125,908,2023,7
230,4204,2064,3968,146
231,2978,3339,1069,122
232,4435,1751,1121,147
233,4907,4756,4163,148
234,3160,37,5191,15
235,3894,1787,2098,149
236,90,3099,787,114
237,4823,2895,98,127
238,3766,1957,3282,125
239,2066,3006,399,46
240,1247,5282,223,13
241,3993,1043,2155,7
242,4987,1760,303,110
243,2960,4191,4157,21
244,84,2052,4026,150
245,4993,5155,4880,151
246,1201,250,4940,37
247,2473,5045,8,152
248,169,1756,5163,64
249,3021,4103,1083,153
250,3190,3122,1993,141
251,904,75,4027,22
252,5431,848,5064,154
253,12,5133,2999,65
254,3029,4845,11,152
255,3755,3345,37,17
256,5194,1964,2586,28
257,2997,4132,4052,21
258,2530,5153,2063,155
259,180,2206,3932,150
260,4009,5024,829,117
261,2898,186,4420,18
262,1965,2258,4911,53
